Time,RtoR
09/08/2017 14:57:11.436,2560
,21787
,305
,145
,311
,283
,296
,295
,216
,4361
,897
,685
,305
,159
,1859
,2592
,267
,2324
,477
,1128
,928
,150
,316
,559
,242
,42
,741
,79
,201
,676
,2942
,929
,627
,464
,427
,327
,278
,230
,294
,41
,1660
,67
,3108
,358
,64
,349
,824
,180
,220
,2214
,390
,393
,275
,399
,588
,365
,1002
,422
,224
,191
,657
,205
,443
,397
,294
,378
,224
,357
,481
,163
,947
,392
,1242
,842
,719
,409
,3660
,241
,180
,463
,1222
,1031
,34
,225
,475
,180
,412
,208
,337
,2094
,734
,79
,319
,166
,284
,555
,1483
,657
,659
,658
,672
,622
,337
,369
,406
,255
,660
,658
,665
,648
,653
,642
,655
,669
,665
,692
,730
,743
,777
,827
,822
,789
,817
,836
,849
,855
,827
,835
,811
,764
,762
,698
,764
,863
,908
,828
,783
,812
,859
,926
,877
,852
,852
,876
,850
,803
,1649
,778
,840
,890
,844
,852
,845
,834
,853
,857
,836
,873
,872
,859
,865
,855
,859
,829
,862
,870
,841
,871
,882
,862
,888
,872
,864
,878
,869
,839
,856
,850
,852
,868
,854
,889
,899
,872
,903
,890
,867
,880
,882
,827
,863
,872
,859
,873
,869
,851
,882
,889
,854
,866
,862
,842
,863
,864
,819
,846
,859
,853
,872
,872
,839
,854
,843
,834
,851
,852
,832
,862
,864
,854
,893
,888
,831
,870
,875
,881
,878
,890
,902
,858
,835
,856
,878
,863
,870
,889
,859
,878
,870
,860
,880
,886
,873
,903
,904
,865
,892
,872
,844
,857
,851
,822
,843
,845
,855
,858
,858
,837
,852
,856
,829
,858
,854
,849
,876
,885
,859
,892
,893
,878
,903
,893
,904
,841
,868
,881
,893
,881
,881
,894
,876
,892
,895
,889
,898
,889
,900
,872
,891
,882
,840
,794
,817
,805
,846
,832
,832
,851
,838
,865
,871
,864
,893
,887
,866
,893
,903
,887
,887
,881
,867
,850
,856
,874
,869
,898
,870
,881
,895
,868
,844
,840
,811
,836
,843
,852
,780
,811
,835
,922
,903
,863
,903
,905
,903
,888
,871
,859
,862
,866
,877
,859
,861
,867
,867
,849
,871
,871
,864
,886
,893
,877
,847
,868
,878
,855
,882
,880
,871
,898
,894
,875
,912
,892
,856
,888
,896
,877
,880
,890
,859
,888
,869
,850
,876
,858
,857
,880
,884
,879
,899
,882
,861
,875
,854
,880
,877
,865
,863
,857
,845
,862
,869
,503
,367
,869
,847
,821
,782
,784
,829
,858
,841
,833
,858
,867
,870
,912
,916
,919
,924
,930
,913
,882
,899
,901
,891
,892
,880
,857
,843
,848
,811
,758
,718
,766
,805
,902
,922
,921
,909
,915
,885
,893
,609
,1109
,834
,827
,781
,816
,803
,790
,795
,806
,466
,181
,148
,755
,785
,783
,788
,788
,773
,752
,717
,440
,295
,750
,672
,761
,832
,577
,304
,887
,910
,317
,184
,446
,876
,225
,716
,937
,933
,941
,914
,907
,915
,912
,874
,882
,901
,911
,874
,916
,929
,867
,922
,921
,869
,910
,922
,867
,917
,882
,885
,867
,871
,916
,910
,859
,904
,928
,891
,860
,828
,879
,885
,882
,914
,955
,908
,892
,902
,863
,923
,926
,876
,911
,904
,856
,885
,883
,876
,892
,905
,875
,907
,885
,851
,898
,905
,854
,897
,855
,837
,881
,913
,897
,861
,907
,895
,852
,882
,844
,818
,845
,830
,832
,916
,907
,873
,932
,898
,862
,879
,857
,839
,864
,870
,851
,876
,841
,855
,868
,814
,848
,833
,835
,673
,212
,855
,855
,907
,886
,853
,872
,879
,841
,853
,859
,824
,854
,856
,858
,885
,875
,859
,877
,863
,846
,866
,850
,824
,809
,864
,900
,856
,895
,879
,852
,878
,874
,853
,914
,900
,874
,900
,881
,847
,861
,862
,839
,863
,869
,849
,887
,880
,857
,888
,869
,832
,859
,858
,836
,870
,866
,844
,876
,877
,857
,886
,872
,849
,879
,865
,852
,871
,865
,834
,867
,885
,862
,899
,897
,869
,875
,870
,869
,867
,848
,858
,870
,841
,866
,876
,875
,866
,885
,888
,854
,876
,875
,842
,857
,844
,845
,856
,874
,871
,860
,857
,830
,838
,844
,831
,869
,880
,842
,885
,866
,857
,859
,828
,835
,801
,785
,815
,829
,804
,848
,834
,816
,842
,853
,845
,870
,859
,851
,866
,821
,853
,821
,799
,819
,846
,833
,887
,890
,851
,891
,875
,873
,864
,861
,877
,876
,852
,858
,858
,841
,847
,834
,804
,843
,841
,835
,874
,854
,835
,850
,857
,831
,856
,857
,830
,860
,843
,832
,852
,858
,856
,871
,882
,868
,876
,875
,857
,873
,861
,836
,870
,843
,844
,856
,866
,831
,869
,867
,838
,872
,865
,840
,860
,859
,842
,871
,858
,840
,857
,835
,833
,874
,881
,854
,883
,887
,882
,863
,868
,861
,829
,840
,843
,815
,848
,876
,849
,899
,858
,902
,896
,876
,897
,881
,858
,870
,876
,839
,867
,868
,844
,864
,855
,881
,873
,834
,860
,852
,850
,875
,871
,863
,882
,876
,853
,876
,872
,847
,890
,896
,383
,486
,898
,900
,872
,721
,944
,825
,841
,832
,834
,829
,789
,807
,793
,800
,793
,780
,781
,803
,411
,414
,819
,347
,747
,487
,1532
,697
,739
,759
,873
,856
,328
,533
,847
,840
,556
,276
,806
,790
,736
,720
,712
,744
,816
,836
,859
,844
,912
,905
,912
,924
,924
,916
,897
,875
,867
,880
,885
,907
,878
,893
,870
,877
,890
,877
,857
,882
,893
,887
,892
,889
,895
,890
,898
,897
,872
,878
,884
,837
,862
,863
,834
,848
,846
,834
,865
,836
,812
,843
,864
,812
,870
,845
,814
,839
,830
,821
,829
,836
,806
,825
,830
,811
,845
,826
,802
,833
,833
,827
,858
,842
,842
,842
,816
,779
,815
,819
,827
,866
,864
,836
,844
,850
,844
,837
,851
,859
,825
,857
,850
,848
,229
,637
,838
,797
,807
,821
,810
,775
,753
,757
,342
,60
,347
,748
,751
,773
,779
,745
,767
,756
,747
,737
,758
,786
,803
,802
,808
,830
,849
,835
,808
,816
,823
,808
,861
,874
,900
,888
,836
,857
,863
,843
,850
,859
,846
,858
,862
,854
,876
,883
,854
,883
,879
,851
,880
,866
,859
,899
,896
,900
,857
,863
,854
,829
,851
,859
,862
,828
,862
,859
,821
,843
,852
,846
,860
,872
,880
,864
,905
,940
,896
,917
,915
,886
,896
,901
,893
,851
,881
,867
,832
,865
,860
,905
,896
,878
,905
,888
,903
,909
,905
,861
,892
,875
,896
,889
,855
,289
,566
,835
,863
,813
,794
,754
,767
,791
,799
,818
,828
,836
,837
,817
,836
,862
,887
,859
,891
,905
,886
,916
,929
,896
,915
,910
,904
,859
,887
,891
,887
,912
,913
,906
,957
,947
,911
,934
,932
,887
,909
,901
,886
,921
,924
,882
,920
,920
,886
,911
,912
,867
,887
,881
,851
,879
,893
,897
,911
,875
,902
,885
,867
,891
,870
,868
,902
,911
,888
,923
,910
,895
,906
,902
,908
,902
,875
,884
,859
,881
,879
,869
,875
,880
,902
,890
,864
,915
,927
,906
,926
,910
,891
,895
,885
,857
,885
,881
,848
,873
,863
,852
,878
,906
,888
,905
,883
,899
,877
,1731
,827
,857
,864
,840
,873
,882
,857
,881
,870
,843
,866
,863
,802
,836
,830
,832
,2351
,784
,777
,809
,824
,808
,754
,719
,745
,741
,740
,782
,814
,821
,830
,821
,820
,806
,795
,824
,830
,830
,851
,861
,870
,861
,881
,877
,866
,894
,901
,892
,870
,903
,916
,920
,896
,910
,911
,909
,927
,917
,901
,931
,957
,936
,958
,932
,897
,923
,915
,887
,932
,917
,889
,931
,918
,870
,901
,877
,858
,886
,879
,881
,897
,882
,892
,919
,910
,905
,898
,876
,888
,903
,881
,911
,901
,896
,922
,894
,903
,901
,880
,916
,900
,887
,911
,906
,892
,918
,893
,887
,896
,878
,896
,901
,881
,915
,908
,886
,214
,677
,868
,884
,874
,841
,874
,890
,878
,538
,167
,148
,885
,865
,845
,881
,886
,880
,909
,916
,900
,934
,929
,895
,870
,882
,870
,823
,827
,793
,835
,877
,836
,876
,886
,924
,899
,854
,888
,868
,868
,848
,827
,767
,751
,812
,925
,872
,861
,883
,905
,889
,843
,877
,907
,957
,941
,931
,946
,980
,940
,960
,958
,968
,905
,945
,947
,943
,881
,929
,946
,920
,946
,951
,968
,883
,918
,923
,904
,905
,947
,949
,908
,957
,964
,931
,933
,943
,934
,876
,909
,901
,860
,902
,919
,891
,897
,919
,893
,834
,834
,791
,740
,726
,726
,755
,838
,871
,909
,912
,863
,895
,846
,802
,711
,727
,740
,819
,935
,871
,836
,799
,800
,803
,864
,871
,831
,869
,893
,931
,886
,927
,926
,944
,910
,912
,916
,913
,878
,883
,889
,881
,853
,855
,879
,903
,873
,892
,901
,872
,856
,893
,885
,858
,889
,898
,915
,874
,909
,899
,871
,904
,909
,901
,855
,898
,920
,943
,885
,947
,928
,939
,969
,912
,898
,890
,851
,810
,734
,763
,781
,823
,927
,870
,863
,886
,923
,930
,879
,889
,867
,820
,733
,740
,733
,720
,706
,722
,820
,820
,813
,791
,779
,753
,762
,764
,779
,827
,886
,952
,998
,1001
,967
,935
,902
,943
,955
,940
,970
,1006
,993
,953
,907
,953
,956
,980
,916
,927
,924
,913
,838
,862
,798
,721
,700
,696
,666
,663
,652
,642
,658
,799
,823
,879
,863
,890
,898
,870
,898
,891
,885
,889
,909
,911
,879
,842
,873
,875
,885
,908
,896
,917
,897
,862
,836
,796
,777
,796
,740
,759
,793
,963
,927
,884
,936
,981
,986
,972
,960
,923
,929
,926
,911
,896
,851
,864
,868
,858
,852
,898
,906
,886
,899
,906
,892
,848
,868
,898
,929
,898
,933
,943
,892
,900
,884
,854
,829
,854
,860
,846
,850
,872
,877
,855
,880
,891
,891
,856
,835
,849
,852
,862
,832
,866
,869
,885
,865
,887
,880
,874
,839
,845
,848
,876
,859
,859
,889
,916
,878
,918
,929
,912
,893
,889
,897
,858
,825
,841
,906
,917
,862
,914
,949
,925
,873
,919
,883
,832
,852
,873
,885
,870
,856
,923
,949
,933
,899
,904
,897
,878
,868
,836
,744
,727
,743
,793
,921
,884
,855
,838
,903
,934
,958
,961
,917
,944
,920
,908
,896
,854
,877
,877
,896
,884
,902
,914
,928
,941
,938
,937
,947
,929
,907
,916
,941
,977
,977
,953
,928
,950
,941
,909
,883
,922
,930
,875
,874
,909
,941
,887
,885
,913
,904
,851
,866
,859
,841
,796
,766
,772
,752
,732
,723
,686
,700
,707
,693
,667
,650
,667
,792
,864
,907
,891
,798
,804
,826
,866
,916
,937
,954
,954
,920
,896
,838
,746
,737
,736
,799
,902
,927
,932
,914
,925
,914
,883
,877
,842
,815
,825
,851
,894
,884
,867
,814
,780
,748
,751
,767
,908
,1076
,1096
,1052
,1031
,1004
,977
,915
,841
,806
,768
,813
,1049
,969
,993
,988
,976
,939
,842
,761
,726
,739
,783
,1004
,944
,959
,978
,980
,942
,836
,828
,787
,778
,848
,990
,939
,948
,954
,953
,928
,868
,827
,818
,774
,812
,937
,940
,978
,983
,986
,974
,911
,873
,854
