Time,BreathingWaveform
17/08/2017 08:20:15.412,6565617
17/08/2017 08:20:15.452,6584017
17/08/2017 08:20:15.492,6584017
17/08/2017 08:20:15.532,6584805
17/08/2017 08:20:15.572,6584805
17/08/2017 08:20:15.612,6588959
17/08/2017 08:20:15.652,6593111
17/08/2017 08:20:15.692,6589957
17/08/2017 08:20:15.732,6587486
17/08/2017 08:20:15.772,6584069
17/08/2017 08:20:15.812,6580126
17/08/2017 08:20:15.852,6577603
17/08/2017 08:20:15.892,6579233
17/08/2017 08:20:15.932,6578655
17/08/2017 08:20:15.972,6576184
17/08/2017 08:20:16.012,6572714
17/08/2017 08:20:16.052,6569823
17/08/2017 08:20:16.092,6567299
17/08/2017 08:20:16.132,6565617
17/08/2017 08:20:16.172,6561884
17/08/2017 08:20:16.212,6564408
17/08/2017 08:20:16.252,6564671
17/08/2017 08:20:16.292,6563357
17/08/2017 08:20:16.332,6568298
17/08/2017 08:20:16.372,6563304
17/08/2017 08:20:16.412,6554472
17/08/2017 08:20:16.452,6545115
17/08/2017 08:20:16.492,6549215
17/08/2017 08:20:16.532,6554104
17/08/2017 08:20:16.572,6556628
17/08/2017 08:20:16.612,6561990
17/08/2017 08:20:16.652,6564198
17/08/2017 08:20:16.692,6567930
17/08/2017 08:20:16.732,6571610
17/08/2017 08:20:16.772,6574869
17/08/2017 08:20:16.812,6579233
17/08/2017 08:20:16.852,6582124
17/08/2017 08:20:16.892,6583859
17/08/2017 08:20:16.932,6583596
17/08/2017 08:20:16.972,6586855
17/08/2017 08:20:17.012,6586172
17/08/2017 08:20:17.052,6583439
17/08/2017 08:20:17.092,6577919
17/08/2017 08:20:17.132,6576026
17/08/2017 08:20:17.172,6569718
17/08/2017 08:20:17.212,6559729
17/08/2017 08:20:17.252,6552790
17/08/2017 08:20:17.292,6510102
17/08/2017 08:20:17.332,6496434
17/08/2017 08:20:17.372,6490388
17/08/2017 08:20:17.412,6484080
17/08/2017 08:20:17.452,6481294
17/08/2017 08:20:17.492,6477246
17/08/2017 08:20:17.532,6474722
17/08/2017 08:20:17.572,6474722
17/08/2017 08:20:17.612,6477719
17/08/2017 08:20:17.652,6479717
17/08/2017 08:20:17.692,6517568
17/08/2017 08:20:17.732,6508262
17/08/2017 08:20:17.772,6504951
17/08/2017 08:20:17.812,6502795
17/08/2017 08:20:17.852,6502900
17/08/2017 08:20:17.892,6498852
17/08/2017 08:20:17.932,6498064
17/08/2017 08:20:17.972,6496487
17/08/2017 08:20:18.012,6500640
17/08/2017 08:20:18.052,6503742
17/08/2017 08:20:18.092,6505003
17/08/2017 08:20:18.132,6504740
17/08/2017 08:20:18.172,6507001
17/08/2017 08:20:18.212,6512205
17/08/2017 08:20:18.252,6522877
17/08/2017 08:20:18.292,6523613
17/08/2017 08:20:18.332,6521721
17/08/2017 08:20:18.372,6531867
17/08/2017 08:20:18.412,6542118
17/08/2017 08:20:18.452,6543275
17/08/2017 08:20:18.492,6546744
17/08/2017 08:20:18.532,6530395
17/08/2017 08:20:18.572,6494016
17/08/2017 08:20:18.612,6479612
17/08/2017 08:20:18.652,6455377
17/08/2017 08:20:18.692,6451749
17/08/2017 08:20:18.732,6443758
17/08/2017 08:20:18.772,6438922
17/08/2017 08:20:18.812,6447912
17/08/2017 08:20:18.852,6453011
17/08/2017 08:20:18.892,6452958
17/08/2017 08:20:18.932,6450225
17/08/2017 08:20:18.972,6450067
17/08/2017 08:20:19.012,6446229
17/08/2017 08:20:19.052,6441866
17/08/2017 08:20:19.092,6442339
17/08/2017 08:20:19.132,6446545
17/08/2017 08:20:19.172,6444757
17/08/2017 08:20:19.212,6443863
17/08/2017 08:20:19.252,6443653
