SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2017,08,25,29079676,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2017,08,25,29080052,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29080131,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29082495,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29083052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29100314,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29100316,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29100329,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29100339,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29100531,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29100537,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29110900,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29111054,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29111238,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29112051,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29113684,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29113816,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29115580,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29116865,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29117956,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29119794,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29120058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29120166,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29122291,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29124054,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29135057,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,25,29901217,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29901217,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29901218,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2017,08,25,29901218,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29901467,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29901468,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29901717,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29901718,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29902216,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29902217,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,25,29917222,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2017,08,25,29925224,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,25,29927228,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2017,08,25,29928264,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29929228,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29929708,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29930224,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29937558,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29938230,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29938542,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29939230,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29940798,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,29941231,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2017,08,25,29941435,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2017,08,25,29945232,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2017,08,25,29945233,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2017,08,25,30124283,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2017,08,25,30124283,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
