Time,BtoB
10/08/2017 14:05:52.410,6000
,7140
,8450
,4230
,6000
,6620
,950
,3570
,2850
,14510
,6000
,10950
,23130
,4400
,3300
,3930
,3520
,3360
,3320
,4000
,4220
,3290
,3690
,4580
,770
,2960
,4500
,3120
,3640
,4200
,3520
,3450
,6720
,3680
,3250
,4410
,4230
,4090
,4110
,4620
,4040
,4140
,3540
,3870
,3220
,930
,3830
,4540
,2210
,4910
,2940
,1250
,2920
,2880
,3550
,4310
,6940
,2740
,4820
,3070
,1690
,1870
,4160
,2720
,3880
,3800
,3450
,3500
,4070
,7420
,3700
,2740
,3360
,3770
,3830
,2780
,4680
,4110
,3490
,3440
,4440
,3650
,3600
,720
,3530
,3580
,1720
,3200
,2880
,4020
,4140
,4120
,3980
,4250
,4200
,4030
,4020
,3950
,3810
,4600
,4580
,2870
,4950
,3140
,4300
,3550
,3810
,4050
,2320
,3640
,4280
,3030
,4280
,3000
,3930
,4040
,3020
,4830
,5550
,7800
,7480
,3060
,5790
,4630
,5300
,4620
,4890
,4640
,3290
,5840
,890
,19790
,4440
,6760
,6540
,6700
,4420
,1780
,2430
,550
,1760
,3790
,610
,1590
,1310
,10660
,5180
,19630
,5560
,1960
,18340
,4570
,1600
,1570
,470
,6790
,1370
,1590
,4960
,6380
,2750
,3970
,6170
,6870
,5770
,9250
,10680
,4980
,4280
,3950
,6690
,5450
,4590
,3340
,4090
,1100
,940
,1060
,5600
,670
,670
,920
,7570
,10220
,9840
,9870
,10230
,10080
,9950
,9860
,10130
,9820
,10160
,9890
,6850
,3300
,3730
,970
,5400
,9900
,10110
,10060
,9830
,9600
,10870
,8760
,8390
,7230
,4670
,21080
,9820
,9850
,10260
,10120
,7360
,3010
,6470
,4390
,4470
,3890
,2370
,7980
,3250
,3640
,3780
,4700
,3470
,4000
,3890
,5240
,6430
,4750
,4660
,6890
,4150
,6130
,5880
,2620
,2780
,2980
,3250
,3370
,3860
,2850
,2800
,4030
,3860
,2600
,3170
,3740
,4490
,4050
,4050
,3850
,3930
,3250
,3640
,3690
,2350
,1980
,3440
,3770
,3660
,3680
,3880
,4320
,3730
,3890
,3500
,3810
,4060
,3660
,4130
,3440
,4060
,3740
,4380
,5690
,1990
,3260
,1020
